job_title,experience,salary,location,job_type,url,company_name,description,posted_date,company_logo,apply_link,country,source,ingestion_timestamp
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,Warehouse Operative - Afternoon Shift. Summary. £13.05 - £18.65 per hour* | 37.5 hour contract | 30-35 days holiday (pro rata) | 10% in-store discount | Pension scheme. Afternoon Shift (Meat & Poultry/Freezer) - 12:30pm - 20:30pm. Everyone who works at Lidl brings something unique to the table - …more,,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:29:12.741717
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,Warehouse Operative - Afternoon Shift. Summary. £13.05 - £18.65 per hour* | 37.5 hour contract | 30-35 days holiday (pro rata) | 10% in-store discount | Pension scheme. Afternoon Shift (Meat & Poultry/Freezer) - 12:30pm - 20:30pm. Everyone who works at Lidl brings something unique to the table - …more,,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:29:12.745719
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,"Are you an ambitious 4 year+ PQE Private Client Solicitor looking seeking a new challenge with a well-established Legal 500 firm. Our client, a reputable Legal 500 Firm, is actively seeking a skilled Solicitor to join their Wills and Probate team. This is an excellent opportunity to step into a …more",,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:29:13.941050
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,"Are you an ambitious 4 year+ PQE Private Client Solicitor looking seeking a new challenge with a well-established Legal 500 firm. Our client, a reputable Legal 500 Firm, is actively seeking a skilled Solicitor to join their Wills and Probate team. This is an excellent opportunity to step into a …more",,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:29:13.944064
Supplier Manager,,,NN1 3QS,Permanent,https://www.cv-library.co.uk/job/223368500,Barclays Bank PLC,"Are you an ambitious 4 year+ PQE Private Client Solicitor looking seeking a new challenge with a well-established Legal 500 firm. Our client, a reputable Legal 500 Firm, is actively seeking a skilled Solicitor to join their Wills and Probate team. This is an excellent opportunity to step into a …more",2025-04-19T04:07:15Z,,https://www.cv-library.co.uk/job/223368500/Supplier-Manager,UK,cv_library,2025-04-22T02:29:15.684065
Supplier Manager,,,NN1 3QS,Permanent,https://www.cv-library.co.uk/job/223368500,Barclays Bank PLC,"Are you an ambitious 4 year+ PQE Private Client Solicitor looking seeking a new challenge with a well-established Legal 500 firm. Our client, a reputable Legal 500 Firm, is actively seeking a skilled Solicitor to join their Wills and Probate team. This is an excellent opportunity to step into a …more",2025-04-19T04:07:15Z,,https://www.cv-library.co.uk/job/223368500/Supplier-Manager,UK,cv_library,2025-04-22T02:29:16.011845
Supplier Manager,,,NN1 3QS,Permanent,https://www.cv-library.co.uk/job/223368500,Barclays Bank PLC,"Are you an ambitious 4 year+ PQE Private Client Solicitor looking seeking a new challenge with a well-established Legal 500 firm. Our client, a reputable Legal 500 Firm, is actively seeking a skilled Solicitor to join their Wills and Probate team. This is an excellent opportunity to step into a …more",2025-04-19T04:07:15Z,,https://www.cv-library.co.uk/job/223368500/Supplier-Manager,UK,cv_library,2025-04-22T02:29:16.190912
Supplier Manager,,,NN1 3QS,Permanent,https://www.cv-library.co.uk/job/223368500,Barclays Bank PLC,"Job Role: Print Assistant - (Full-time and Permanent. Pay Rate: £11.44-£12.72 per hour + weekly shift supplement dependent on shift pattern (£20, £100.62 OR £89.25 per week extra. Shift Pattern: 4/4 Days OR 4/4 Nights OR Continentals (mixture of days and nights) - All 12 hour shifts, 6-6. Job …more",2025-04-19T04:07:15Z,,https://www.cv-library.co.uk/job/223368500/Supplier-Manager,UK,cv_library,2025-04-22T02:29:16.757072
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,"Retail Shift Manager. Summary. £14.65 - £15.15 per hour | 35-40 hour contract | 30-35 days holiday (pro rata) | 10% in-store discount | Enhanced family leave. Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We're reliable, organised and …more",,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:29:19.009595
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,"Retail Shift Manager. Summary. £14.65 - £15.15 per hour | 35-40 hour contract | 30-35 days holiday (pro rata) | 10% in-store discount | Enhanced family leave. Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We're reliable, organised and …more",,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:29:19.017606
