title,experience,salary,location,job_type,url,company,description,posted_date,company_logo,apply_link,country,source,ingestion_timestamp
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,"Jark Stevenage is currently recruiting a machine operative to join a busy cosmetic company based in Stevenage, the ideal candidate will be comfortable working in a fast pace environment and have a great attention to detail. This is a temporary position, however for the right candidate it could lead …more",2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/job/223341035/Machine-Operative/apply,UK,cv_library,2025-04-13T14:40:30.018784
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,Sales Advisor - Call Centre. Certain Advantage is hiring for Temp to Perm Sales Advisor's based in Ormskirk. If you are a confident Sales Advisor who likes a team environment and is driven by a target-based environment - this is the role for you! Great rate of pay and a fantastic central location. …more,,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341032/Sales-Advisor-Call-Centre/apply,UK,cv_library,2025-04-13T14:40:27.029322
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,Sales Advisor - Call Centre. Certain Advantage is hiring for Temp to Perm Sales Advisor's based in Ormskirk. If you are a confident Sales Advisor who likes a team environment and is driven by a target-based environment - this is the role for you! Great rate of pay and a fantastic central location. …more,,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341032/Sales-Advisor-Call-Centre/apply,UK,cv_library,2025-04-13T14:40:27.193631
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,Sales Advisor - Call Centre. Certain Advantage is hiring for Temp to Perm Sales Advisor's based in Ormskirk. If you are a confident Sales Advisor who likes a team environment and is driven by a target-based environment - this is the role for you! Great rate of pay and a fantastic central location. …more,2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341032/Sales-Advisor-Call-Centre/apply,UK,cv_library,2025-04-13T14:40:27.876252
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,Sales Advisor - Call Centre. Certain Advantage is hiring for Temp to Perm Sales Advisor's based in Ormskirk. If you are a confident Sales Advisor who likes a team environment and is driven by a target-based environment - this is the role for you! Great rate of pay and a fantastic central location. …more,2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341032/Sales-Advisor-Call-Centre/apply,UK,cv_library,2025-04-13T14:40:29.807337
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,Sales Advisor - Call Centre. Certain Advantage is hiring for Temp to Perm Sales Advisor's based in Ormskirk. If you are a confident Sales Advisor who likes a team environment and is driven by a target-based environment - this is the role for you! Great rate of pay and a fantastic central location. …more,2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/job/223341032/Sales-Advisor-Call-Centre/apply,UK,cv_library,2025-04-13T14:40:30.606684
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"Job Advert: Administrative Assistant – Property Development. We are a growing property development company based in the North West, currently seeking a proactive and organised Administrative Assistant to join our team on a Full or part-time basis. This varied role will suit someone with a keen eye …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/register/apply?autoapply=223295562,UK,cv_library,2025-04-13T14:40:26.941420
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"Job Advert: Administrative Assistant – Property Development. We are a growing property development company based in the North West, currently seeking a proactive and organised Administrative Assistant to join our team on a Full or part-time basis. This varied role will suit someone with a keen eye …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/register/apply?autoapply=223295562,UK,cv_library,2025-04-13T14:40:27.925468
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"Job Advert: Administrative Assistant – Property Development. We are a growing property development company based in the North West, currently seeking a proactive and organised Administrative Assistant to join our team on a Full or part-time basis. This varied role will suit someone with a keen eye …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/register/apply?autoapply=223295562,UK,cv_library,2025-04-13T14:40:30.229664
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,"Job Advert: Administrative Assistant – Property Development. We are a growing property development company based in the North West, currently seeking a proactive and organised Administrative Assistant to join our team on a Full or part-time basis. This varied role will suit someone with a keen eye …more",2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/register/apply?autoapply=223295562,UK,cv_library,2025-04-13T14:40:30.840677
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"Are you ready to elevate your career as an Electrical Test Engineer with a leading UK automation solutions provider? This opportunity offers a chance to work on innovative projects, contributing to the development of cutting-edge automation technologies. With a focus on personal development and …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341029/Electrical-Test-Engineer/apply,UK,cv_library,2025-04-13T14:40:26.958451
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"Are you ready to elevate your career as an Electrical Test Engineer with a leading UK automation solutions provider? This opportunity offers a chance to work on innovative projects, contributing to the development of cutting-edge automation technologies. With a focus on personal development and …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341029/Electrical-Test-Engineer/apply,UK,cv_library,2025-04-13T14:40:26.967203
